 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,remain,3,1.0,0.9444444444444444,0.9473684210526315,0.9722222222222222,0.972972972972973,0.9996520763187431,0.05555555555555558,unlearning,remain,3,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,5,0.9974182444061962,0.9931153184165232,0.9931448157669237,0.9952667814113597,0.995276942893946,0.9999422326631334,0.0068846815834767705,unlearning,remain,5,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,6,0.9064293915040184,0.93398392652124,0.9321133412042503,0.9202066590126292,0.9190919674039582,0.9599919461247151,0.06601607347876004,unlearning,remain,6,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,8,1.0,0.9955456570155902,0.9955654101995566,0.9977728285077951,0.9977777777777778,0.9994791692501525,0.0044543429844098315,unlearning,remain,8,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,9,0.999279711884754,0.9202881152460984,0.9261237205162439,0.9597839135654261,0.9613119297840398,0.9996287014205442,0.07971188475390156,unlearning,remain,9,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,10,0.9618725868725869,0.9932432432432432,0.9930244145490782,0.977557915057915,0.9772002941897524,0.9987992594773483,0.006756756756756799,unlearning,remain,10,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,13,0.9976190476190476,0.3047619047619048,0.5893108298171589,0.6511904761904762,0.7409372236958445,0.93876669186193,0.6952380952380952,unlearning,remain,13,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,14,0.9844444444444445,1.0,1.0,0.9922222222222222,0.9921612541993281,1.0,0.0,unlearning,remain,14,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,16,0.9944237918215614,0.7713754646840149,0.8130699088145896,0.8828996282527881,0.8946488294314382,0.9836306850375203,0.22862453531598514,unlearning,remain,16,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,17,1.0,0.9962825278810409,0.9962962962962963,0.9981412639405205,0.9981447124304267,1.0,0.0037174721189591198,unlearning,remain,17,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,18,1.0,0.9981481481481481,0.9981515711645101,0.9990740740740741,0.9990749306197965,0.9999974279835391,0.0018518518518518823,unlearning,remain,18,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,20,1.0,0.9980582524271845,0.998062015503876,0.9990291262135922,0.9990300678952473,1.0,0.001941747572815511,unlearning,remain,20,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,21,0.9954545454545455,0.9272727272727272,0.9319148936170213,0.9613636363636363,0.9626373626373627,0.9984601061116214,0.07272727272727275,unlearning,remain,21,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,22,0.9776536312849162,0.8994413407821229,0.9067357512953368,0.9385474860335196,0.9408602150537635,0.995443338222902,0.1005586592178771,unlearning,remain,22,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,23,1.0,0.9964349376114082,0.9964476021314387,0.9982174688057041,0.998220640569395,1.0,0.0035650623885917776,unlearning,remain,23,0.0,1.0,0.0,0.5,0.0,0.5,0.0
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,20,1.0,0.9980582524271845,0.998062015503876,0.9990291262135922,0.9990300678952473,1.0,0.001941747572815511,unlearning,forget,20,0.0,1.0,0.0,0.5,0.0,0.5,0.0
 
original,remain,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,unlearning,remain,1,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,2,0.9983669025585193,0.9978225367446925,0.9978237214363439,0.9980947196516059,0.9980952380952381,0.9999866649637332,0.0021774632553075435,unlearning,remain,2,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,3,1.0,0.9444444444444444,0.9473684210526315,0.9722222222222222,0.972972972972973,0.9996520763187431,0.05555555555555558,unlearning,remain,3,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,5,0.9974182444061962,0.9931153184165232,0.9931448157669237,0.9952667814113597,0.995276942893946,0.9999422326631334,0.0068846815834767705,unlearning,remain,5,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,6,0.9064293915040184,0.93398392652124,0.9321133412042503,0.9202066590126292,0.9190919674039582,0.9599919461247151,0.06601607347876004,unlearning,remain,6,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,8,1.0,0.9955456570155902,0.9955654101995566,0.9977728285077951,0.9977777777777778,0.9994791692501525,0.0044543429844098315,unlearning,remain,8,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,9,0.999279711884754,0.9202881152460984,0.9261237205162439,0.9597839135654261,0.9613119297840398,0.9996287014205442,0.07971188475390156,unlearning,remain,9,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,10,0.9618725868725869,0.9932432432432432,0.9930244145490782,0.977557915057915,0.9772002941897524,0.9987992594773483,0.006756756756756799,unlearning,remain,10,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,13,0.9976190476190476,0.3047619047619048,0.5893108298171589,0.6511904761904762,0.7409372236958445,0.93876669186193,0.6952380952380952,unlearning,remain,13,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,14,0.9844444444444445,1.0,1.0,0.9922222222222222,0.9921612541993281,1.0,0.0,unlearning,remain,14,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,16,0.9944237918215614,0.7713754646840149,0.8130699088145896,0.8828996282527881,0.8946488294314382,0.9836306850375203,0.22862453531598514,unlearning,remain,16,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,17,1.0,0.9962825278810409,0.9962962962962963,0.9981412639405205,0.9981447124304267,1.0,0.0037174721189591198,unlearning,remain,17,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,18,1.0,0.9981481481481481,0.9981515711645101,0.9990740740740741,0.9990749306197965,0.9999974279835391,0.0018518518518518823,unlearning,remain,18,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,19,1.0,0.9991007194244604,0.9991015274034142,0.9995503597122302,0.9995505617977527,1.0,0.0008992805755395628,unlearning,remain,19,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,21,0.9954545454545455,0.9272727272727272,0.9319148936170213,0.9613636363636363,0.9626373626373627,0.9984601061116214,0.07272727272727275,unlearning,remain,21,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,22,0.9776536312849162,0.8994413407821229,0.9067357512953368,0.9385474860335196,0.9408602150537635,0.995443338222902,0.1005586592178771,unlearning,remain,22,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,23,1.0,0.9964349376114082,0.9964476021314387,0.9982174688057041,0.998220640569395,1.0,0.0035650623885917776,unlearning,remain,23,0.0,1.0,0.0,0.5,0.0,0.5,0.0
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,21,0.9954545454545455,0.9272727272727272,0.9319148936170213,0.9613636363636363,0.9626373626373627,0.9984601061116214,0.07272727272727275,unlearning,forget,21,0.0,1.0,0.0,0.5,0.0,0.5,0.0
 
original,remain,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,unlearning,remain,1,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,2,0.9983669025585193,0.9978225367446925,0.9978237214363439,0.9980947196516059,0.9980952380952381,0.9999866649637332,0.0021774632553075435,unlearning,remain,2,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,3,1.0,0.9444444444444444,0.9473684210526315,0.9722222222222222,0.972972972972973,0.9996520763187431,0.05555555555555558,unlearning,remain,3,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,5,0.9974182444061962,0.9931153184165232,0.9931448157669237,0.9952667814113597,0.995276942893946,0.9999422326631334,0.0068846815834767705,unlearning,remain,5,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,6,0.9064293915040184,0.93398392652124,0.9321133412042503,0.9202066590126292,0.9190919674039582,0.9599919461247151,0.06601607347876004,unlearning,remain,6,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,8,1.0,0.9955456570155902,0.9955654101995566,0.9977728285077951,0.9977777777777778,0.9994791692501525,0.0044543429844098315,unlearning,remain,8,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,9,0.999279711884754,0.9202881152460984,0.9261237205162439,0.9597839135654261,0.9613119297840398,0.9996287014205442,0.07971188475390156,unlearning,remain,9,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,10,0.9618725868725869,0.9932432432432432,0.9930244145490782,0.977557915057915,0.9772002941897524,0.9987992594773483,0.006756756756756799,unlearning,remain,10,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,13,0.9976190476190476,0.3047619047619048,0.5893108298171589,0.6511904761904762,0.7409372236958445,0.93876669186193,0.6952380952380952,unlearning,remain,13,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,14,0.9844444444444445,1.0,1.0,0.9922222222222222,0.9921612541993281,1.0,0.0,unlearning,remain,14,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,16,0.9944237918215614,0.7713754646840149,0.8130699088145896,0.8828996282527881,0.8946488294314382,0.9836306850375203,0.22862453531598514,unlearning,remain,16,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,17,1.0,0.9962825278810409,0.9962962962962963,0.9981412639405205,0.9981447124304267,1.0,0.0037174721189591198,unlearning,remain,17,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,18,1.0,0.9981481481481481,0.9981515711645101,0.9990740740740741,0.9990749306197965,0.9999974279835391,0.0018518518518518823,unlearning,remain,18,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,19,1.0,0.9991007194244604,0.9991015274034142,0.9995503597122302,0.9995505617977527,1.0,0.0008992805755395628,unlearning,remain,19,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,20,1.0,0.9980582524271845,0.998062015503876,0.9990291262135922,0.9990300678952473,1.0,0.001941747572815511,unlearning,remain,20,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,22,0.9776536312849162,0.8994413407821229,0.9067357512953368,0.9385474860335196,0.9408602150537635,0.995443338222902,0.1005586592178771,unlearning,remain,22,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,23,1.0,0.9964349376114082,0.9964476021314387,0.9982174688057041,0.998220640569395,1.0,0.0035650623885917776,unlearning,remain,23,0.0,1.0,0.0,0.5,0.0,0.5,0.0
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,22,0.9776536312849162,0.8994413407821229,0.9067357512953368,0.9385474860335196,0.9408602150537635,0.995443338222902,0.1005586592178771,unlearning,forget,22,0.0,1.0,0.0,0.5,0.0,0.5,0.0
 
original,remain,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,unlearning,remain,1,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,2,0.9983669025585193,0.9978225367446925,0.9978237214363439,0.9980947196516059,0.9980952380952381,0.9999866649637332,0.0021774632553075435,unlearning,remain,2,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,3,1.0,0.9444444444444444,0.9473684210526315,0.9722222222222222,0.972972972972973,0.9996520763187431,0.05555555555555558,unlearning,remain,3,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,5,0.9974182444061962,0.9931153184165232,0.9931448157669237,0.9952667814113597,0.995276942893946,0.9999422326631334,0.0068846815834767705,unlearning,remain,5,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,6,0.9064293915040184,0.93398392652124,0.9321133412042503,0.9202066590126292,0.9190919674039582,0.9599919461247151,0.06601607347876004,unlearning,remain,6,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,8,1.0,0.9955456570155902,0.9955654101995566,0.9977728285077951,0.9977777777777778,0.9994791692501525,0.0044543429844098315,unlearning,remain,8,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,9,0.999279711884754,0.9202881152460984,0.9261237205162439,0.9597839135654261,0.9613119297840398,0.9996287014205442,0.07971188475390156,unlearning,remain,9,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,10,0.9618725868725869,0.9932432432432432,0.9930244145490782,0.977557915057915,0.9772002941897524,0.9987992594773483,0.006756756756756799,unlearning,remain,10,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,13,0.9976190476190476,0.3047619047619048,0.5893108298171589,0.6511904761904762,0.7409372236958445,0.93876669186193,0.6952380952380952,unlearning,remain,13,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,14,0.9844444444444445,1.0,1.0,0.9922222222222222,0.9921612541993281,1.0,0.0,unlearning,remain,14,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,16,0.9944237918215614,0.7713754646840149,0.8130699088145896,0.8828996282527881,0.8946488294314382,0.9836306850375203,0.22862453531598514,unlearning,remain,16,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,17,1.0,0.9962825278810409,0.9962962962962963,0.9981412639405205,0.9981447124304267,1.0,0.0037174721189591198,unlearning,remain,17,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,18,1.0,0.9981481481481481,0.9981515711645101,0.9990740740740741,0.9990749306197965,0.9999974279835391,0.0018518518518518823,unlearning,remain,18,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,19,1.0,0.9991007194244604,0.9991015274034142,0.9995503597122302,0.9995505617977527,1.0,0.0008992805755395628,unlearning,remain,19,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,20,1.0,0.9980582524271845,0.998062015503876,0.9990291262135922,0.9990300678952473,1.0,0.001941747572815511,unlearning,remain,20,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,21,0.9954545454545455,0.9272727272727272,0.9319148936170213,0.9613636363636363,0.9626373626373627,0.9984601061116214,0.07272727272727275,unlearning,remain,21,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,23,1.0,0.9964349376114082,0.9964476021314387,0.9982174688057041,0.998220640569395,1.0,0.0035650623885917776,unlearning,remain,23,0.0,1.0,0.0,0.5,0.0,0.5,0.0
 
 
 
 , , ,Sn,Sp,precision,acc,f1_score,auc,fpr, , , ,Sn,Sp,precision,acc,f1_score,auc,fpr
original,forget,23,1.0,0.9964349376114082,0.9964476021314387,0.9982174688057041,0.998220640569395,1.0,0.0035650623885917776,unlearning,forget,23,0.0,1.0,0.0,0.5,0.0,0.5,0.0
 
original,remain,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,unlearning,remain,1,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,2,0.9983669025585193,0.9978225367446925,0.9978237214363439,0.9980947196516059,0.9980952380952381,0.9999866649637332,0.0021774632553075435,unlearning,remain,2,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,3,1.0,0.9444444444444444,0.9473684210526315,0.9722222222222222,0.972972972972973,0.9996520763187431,0.05555555555555558,unlearning,remain,3,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,5,0.9974182444061962,0.9931153184165232,0.9931448157669237,0.9952667814113597,0.995276942893946,0.9999422326631334,0.0068846815834767705,unlearning,remain,5,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,6,0.9064293915040184,0.93398392652124,0.9321133412042503,0.9202066590126292,0.9190919674039582,0.9599919461247151,0.06601607347876004,unlearning,remain,6,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,8,1.0,0.9955456570155902,0.9955654101995566,0.9977728285077951,0.9977777777777778,0.9994791692501525,0.0044543429844098315,unlearning,remain,8,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,9,0.999279711884754,0.9202881152460984,0.9261237205162439,0.9597839135654261,0.9613119297840398,0.9996287014205442,0.07971188475390156,unlearning,remain,9,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,10,0.9618725868725869,0.9932432432432432,0.9930244145490782,0.977557915057915,0.9772002941897524,0.9987992594773483,0.006756756756756799,unlearning,remain,10,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,13,0.9976190476190476,0.3047619047619048,0.5893108298171589,0.6511904761904762,0.7409372236958445,0.93876669186193,0.6952380952380952,unlearning,remain,13,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,14,0.9844444444444445,1.0,1.0,0.9922222222222222,0.9921612541993281,1.0,0.0,unlearning,remain,14,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,16,0.9944237918215614,0.7713754646840149,0.8130699088145896,0.8828996282527881,0.8946488294314382,0.9836306850375203,0.22862453531598514,unlearning,remain,16,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,17,1.0,0.9962825278810409,0.9962962962962963,0.9981412639405205,0.9981447124304267,1.0,0.0037174721189591198,unlearning,remain,17,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,18,1.0,0.9981481481481481,0.9981515711645101,0.9990740740740741,0.9990749306197965,0.9999974279835391,0.0018518518518518823,unlearning,remain,18,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,19,1.0,0.9991007194244604,0.9991015274034142,0.9995503597122302,0.9995505617977527,1.0,0.0008992805755395628,unlearning,remain,19,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,20,1.0,0.9980582524271845,0.998062015503876,0.9990291262135922,0.9990300678952473,1.0,0.001941747572815511,unlearning,remain,20,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,21,0.9954545454545455,0.9272727272727272,0.9319148936170213,0.9613636363636363,0.9626373626373627,0.9984601061116214,0.07272727272727275,unlearning,remain,21,0.0,1.0,0.0,0.5,0.0,0.5,0.0
original,remain,22,0.9776536312849162,0.8994413407821229,0.9067357512953368,0.9385474860335196,0.9408602150537635,0.995443338222902,0.1005586592178771,unlearning,remain,22,0.0,1.0,0.0,0.5,0.0,0.5,0.0
 
 
 
